symbol,strategy,interval,full_ret_pct,full_sharpe,full_calmar,full_max_dd,full_trades,full_wr,oos_n,oos_ret_pct,oos_sharpe,oos_pnl_usd,passes
DOGE,turtle_donchian,1h,-7.7865,-2.2156,-0.7901,9.8556,42,14.29,17,-384.3200,-0.9324,-143.11,0
DOGE,measured_move,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
DOGE,mean_reversion,1h,-2.6458,-1.3759,-0.5030,5.2603,84,28.57,24,1692.0400,4.2219,488.57,0
DOGE,band_fade,1h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
DOGE,trend_pullback,1h,-15.4311,-7.2045,-0.9356,16.4929,342,46.20,103,-873.3100,-0.8553,-193.46,0
DOGE,slow_drift_follow,1h,-3.5539,-4.0065,-0.9653,3.6815,326,38.04,91,795.3200,1.0134,76.62,0
DOGE,range_breakout,1h,-4.6412,-3.3644,-0.8871,5.2318,164,37.20,49,-1853.3400,-2.1363,-179.04,0
DOGE,rsi2_connors,1h,-19.7601,-11.3975,-0.9965,19.8291,533,56.29,176,-3677.4400,-2.8043,-620.33,0
BTC,regime_momentum,4h,1.5717,0.3732,0.2597,6.0530,342,36.26,93,1134.3000,0.6482,249.07,1
BTC,ema_crossover,4h,-1.0065,-0.0554,-0.0846,11.9043,64,31.25,21,1775.3700,1.7796,620.38,0
BTC,vol_breakout,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
BTC,orb_session,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
BTC,turtle_donchian,4h,5.9131,1.0524,0.8776,6.7377,32,25.00,11,-1033.6200,-3.1317,-423.64,0
BTC,measured_move,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
BTC,mean_reversion,4h,-4.2918,-1.8437,-0.8444,5.0825,103,23.30,25,-141.8400,-0.4943,-43.88,0
BTC,band_fade,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
BTC,trend_pullback,4h,-7.0800,-2.2960,-0.7765,9.1182,307,46.25,89,-2264.0900,-1.8316,-540.93,0
BTC,slow_drift_follow,4h,-5.8791,-5.3450,-0.9812,5.9915,355,28.73,100,-2135.0000,-1.6037,-203.54,0
BTC,range_breakout,4h,-1.1503,-0.5938,-0.3363,3.4205,166,42.17,46,929.2700,0.7372,90.26,0
BTC,rsi2_connors,4h,-10.4749,-4.2556,-0.8491,12.3360,601,59.90,179,-2645.9300,-1.2385,-488.75,0
ETH,regime_momentum,4h,2.5035,0.4599,0.3919,6.3883,375,38.13,109,399.6700,0.1808,-50.39,0
ETH,ema_crossover,4h,-3.2274,-0.1971,-0.2264,14.2580,60,40.00,16,5707.6100,4.8943,1934.44,0
ETH,vol_breakout,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
ETH,orb_session,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
ETH,turtle_donchian,4h,8.5990,1.0813,1.2525,6.8653,32,18.75,9,-1608.5700,-5.0539,-669.28,0
ETH,measured_move,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
ETH,mean_reversion,4h,-9.5440,-3.3724,-0.8165,11.6883,97,22.68,22,2081.9000,5.0429,556.71,0
ETH,band_fade,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
ETH,trend_pullback,4h,-18.1409,-4.7724,-0.8335,21.7650,327,44.65,106,472.0100,0.2272,75.72,0
ETH,slow_drift_follow,4h,-6.0212,-4.0116,-0.9719,6.1955,399,32.08,118,-3160.2200,-1.5065,-300.20,0
ETH,range_breakout,4h,-4.0776,-1.5266,-0.6517,6.2567,164,39.63,49,-3576.1200,-2.0205,-349.63,0
ETH,rsi2_connors,4h,-10.7352,-3.1198,-0.9324,11.5134,539,61.04,158,-4734.3100,-1.7881,-878.34,0
SOL,regime_momentum,4h,-4.0756,-0.5232,-0.4820,8.4552,374,39.84,118,-945.2900,-0.2986,-490.55,0
SOL,ema_crossover,4h,-3.0904,-0.0957,-0.1761,17.5460,52,40.38,20,-6124.7900,-4.3880,-2415.76,0
SOL,vol_breakout,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
SOL,orb_session,4h,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0.0000,0.0000,0.00,0
