n,win_rate,avg_net_pct,total_pct,max_dd_pct,sharpe,tp_rate,sl_rate,timeout_rate,rally_lb,rally_thr,rsi_thr,tp_pct,sl_pct,hold_bars,symbol
27,55.56,0.2325,6.293,-2.968,4.007,40.7,3.7,55.6,4,1.0,70,1.5,2.5,6,BTCUSDT
24,62.5,0.1716,3.912,-3.106,2.163,50.0,16.7,33.3,4,1.0,70,1.5,2.5,12,BTCUSDT
23,73.91,0.2619,5.884,-2.856,3.118,60.9,21.7,17.4,4,1.0,70,1.5,2.5,24,BTCUSDT
26,53.85,0.1615,4.092,-4.978,2.595,38.5,0.0,61.5,4,1.0,70,1.5,4.0,6,BTCUSDT
20,60.0,-0.0775,-1.896,-8.456,-0.782,55.0,10.0,35.0,4,1.0,70,1.5,4.0,12,BTCUSDT
19,68.42,-0.0607,-1.557,-9.132,-0.561,57.9,15.8,26.3,4,1.0,70,1.5,4.0,24,BTCUSDT
29,41.38,-0.0563,-1.827,-9.872,-0.888,17.2,24.1,58.6,4,1.0,70,2.0,1.5,6,BTCUSDT
28,46.43,0.0406,0.837,-7.684,0.527,25.0,35.7,39.3,4,1.0,70,2.0,1.5,12,BTCUSDT
27,51.85,0.0882,2.001,-7.599,0.98,48.1,48.1,3.7,4,1.0,70,2.0,1.5,24,BTCUSDT
27,55.56,0.2661,7.238,-3.173,4.301,22.2,3.7,74.1,4,1.0,70,2.0,2.5,6,BTCUSDT
24,58.33,0.2549,5.95,-3.355,2.938,33.3,16.7,50.0,4,1.0,70,2.0,2.5,12,BTCUSDT
22,72.73,0.5088,11.399,-2.67,5.304,59.1,22.7,18.2,4,1.0,70,2.0,2.5,24,BTCUSDT
26,53.85,0.1772,4.501,-5.644,2.728,19.2,0.0,80.8,4,1.0,70,2.0,4.0,6,BTCUSDT
20,55.0,-0.0025,-0.463,-7.512,-0.024,35.0,10.0,55.0,4,1.0,70,2.0,4.0,12,BTCUSDT
