symbol,variant,lookback,thr,hold,n_trades,win_rate,avg_net_pct,total_ret_pct,hodl_pct,max_dd_pct,sharpe,avg_size
ETHUSDT,kronos_gated,50,1.5,24,39,66.67,0.5952,24.252,12.735,-11.877,4.179,1.0
ETHUSDT,kronos_gated,50,2.0,24,30,70.0,0.548,16.405,12.735,-14.929,3.679,1.0
ETHUSDT,kronos_gated,50,2.5,24,22,68.18,0.5851,12.48,12.735,-14.303,3.549,1.0
ETHUSDT,kronos_gated,100,1.5,24,33,63.64,0.5312,17.497,12.735,-11.168,3.525,1.0
ETHUSDT,kronos_gated,100,2.5,12,23,52.17,0.2344,5.03,12.735,-9.621,3.044,1.0
ETHUSDT,kronos_gated,100,1.5,12,52,55.77,0.1397,6.394,12.735,-12.284,1.857,1.0
ETHUSDT,kronos_gated,50,1.5,12,59,52.54,0.0932,4.467,12.735,-10.825,1.278,1.0
ETHUSDT,kronos_gated,20,1.5,24,46,47.83,0.1848,6.499,12.735,-12.537,1.132,1.0
ETHUSDT,kronos_gated,20,1.5,12,64,51.56,0.0265,-0.018,12.735,-15.028,0.307,1.0
ETHUSDT,kronos_gated,20,2.5,24,27,62.96,0.0416,-0.103,12.735,-14.6,0.263,1.0
ETHUSDT,kronos_gated,50,2.0,12,40,47.5,-0.0736,-3.692,12.735,-14.002,-0.974,1.0
ETHUSDT,kronos_gated,50,2.5,12,25,48.0,-0.1266,-3.595,12.735,-10.502,-1.692,1.0
ETHUSDT,kronos_gated,20,2.0,24,36,44.44,-0.3097,-11.889,12.735,-18.341,-2.05,1.0
ETHUSDT,kronos_gated,20,2.5,12,30,40.0,-0.2937,-9.199,12.735,-13.891,-3.344,1.0
ETHUSDT,kronos_gated,20,2.0,12,43,41.86,-0.4877,-19.769,12.735,-23.325,-6.093,1.0
ETHUSDT,vol_norm,100,2.5,24,24,79.17,2.1703,62.979,12.735,-13.277,8.551,1.888
ETHUSDT,vol_norm,100,2.0,12,44,59.09,1.1806,62.004,12.735,-13.15,7.918,1.932
ETHUSDT,vol_norm,100,2.0,24,29,68.97,1.8036,62.925,12.735,-13.277,7.394,1.954
ETHUSDT,vol_norm,100,2.5,12,29,58.62,0.7906,23.207,12.735,-16.325,5.658,1.884
ETHUSDT,vol_norm,100,1.5,24,42,61.9,0.677,25.994,12.735,-21.553,2.607,1.923
ETHUSDT,vol_norm,50,2.0,12,55,50.91,0.2962,8.5,12.735,-42.105,1.455,2.159
ETHUSDT,vol_norm,100,1.5,12,67,55.22,0.1809,8.259,12.735,-24.434,1.386,1.912
ETHUSDT,vol_norm,50,2.5,12,37,48.65,0.1875,0.582,12.735,-30.548,0.851,2.265
ETHUSDT,vol_norm,50,1.5,24,54,55.56,-0.2129,-20.552,12.735,-40.269,-0.647,2.079
ETHUSDT,vol_norm,50,2.0,24,39,61.54,-0.249,-17.763,12.735,-49.613,-0.696,2.171
ETHUSDT,vol_norm,20,1.5,24,71,53.52,-0.3413,-35.759,12.735,-46.583,-0.881,2.513
ETHUSDT,vol_norm,50,1.5,12,88,48.86,-0.2508,-26.473,12.735,-46.914,-1.548,2.044
ETHUSDT,vol_norm,20,2.0,24,61,44.26,-0.608,-40.143,12.735,-54.837,-1.717,2.395
ETHUSDT,vol_norm,50,2.5,24,31,58.06,-0.6586,-25.063,12.735,-50.21,-1.799,2.221
ETHUSDT,vol_norm,20,2.5,24,47,51.06,-0.6082,-31.589,12.735,-44.454,-1.894,2.234
ETHUSDT,vol_norm,20,1.5,12,109,44.95,-0.4828,-48.443,12.735,-62.556,-2.642,2.329
ETHUSDT,vol_norm,20,2.5,12,54,42.59,-0.9313,-43.487,12.735,-44.099,-5.193,2.185
ETHUSDT,vol_norm,20,2.0,12,81,41.98,-1.238,-67.176,12.735,-72.342,-6.711,2.321
LINKUSDT,classical,100,2.5,24,20,75.0,1.2208,26.534,17.753,-5.444,8.327,1.0
LINKUSDT,classical,100,1.5,12,71,57.75,0.54,43.946,17.753,-8.076,6.358,1.0
LINKUSDT,classical,100,2.5,12,25,60.0,0.4436,11.192,17.753,-7.097,6.116,1.0
LINKUSDT,classical,100,1.5,24,44,56.82,0.6016,27.86,17.753,-10.218,3.942,1.0
LINKUSDT,classical,100,2.0,24,23,56.52,0.5164,11.754,17.753,-7.001,3.803,1.0
LINKUSDT,classical,50,2.5,24,28,60.71,0.5362,14.139,17.753,-14.062,2.841,1.0
LINKUSDT,classical,100,2.0,12,37,48.65,0.2066,7.1,17.753,-9.939,2.673,1.0
LINKUSDT,classical,20,1.5,24,74,51.35,0.2488,15.548,17.753,-17.809,1.442,1.0
LINKUSDT,classical,50,2.0,24,43,55.81,0.1933,6.068,17.753,-23.198,1.091,1.0
LINKUSDT,classical,50,2.5,12,34,61.76,0.0999,2.318,17.753,-12.543,1.048,1.0
LINKUSDT,classical,50,1.5,24,57,57.89,0.1419,5.448,17.753,-19.043,0.864,1.0
LINKUSDT,classical,20,2.0,24,57,50.88,0.0055,-2.349,17.753,-25.886,0.034,1.0
LINKUSDT,classical,50,2.0,12,56,46.43,-0.022,-2.398,17.753,-16.779,-0.286,1.0
LINKUSDT,classical,20,2.5,24,43,46.51,-0.118,-7.005,17.753,-24.367,-0.698,1.0
LINKUSDT,classical,20,1.5,12,114,46.49,-0.0991,-13.662,17.753,-29.426,-1.093,1.0
LINKUSDT,classical,50,1.5,12,83,43.37,-0.2577,-21.029,17.753,-26.881,-3.021,1.0
